hizo machte
natal heimatstadt
stephen stephen
conference conference
asís franziskus
crímenes verbrechen
percepción wahrnehmung
derek derek
desempleo arbeitslosigkeit
estilo stil
metros meter
introduction introduction
contacto kontakt
vietnam vietnam
electrones elektronen
aircraft aircraft
semilla frucht
philippe philippe
formato format
compositor komponist
android android
protestas proteste
estudiante student
expresó äußerte
fanáticos fans
école école
partiendo ausgehend
symphony symphony
deberían müssten
usado verwendet
espectador betrachter
coronado gekrönt
finlandés finnischer
solid solid
propios eigenen
conservados erhaltenen
river river
core core
detectado festgestellt
from from
biblios admins
pasaron wechselten
tour tour
carroll carroll
acercamiento annäherung
books books
chen chen
nombre namen
jersey jersey
restaurada restauriert
épocas epochen
way way
american american
owen owen
socialdemócrata sozialdemokratische
montpellier montpellier
criticó kritisierte
distribuidos verteilten
grove grove
siena siena
adolescentes jugendlichen
salem salem
monroe monroe
granito granit
dramaturgo dramatiker
square square
elche dortmund
magister magister
gana gewinnt
plazas plätze
fuerte starke
leyendas legenden
gráfica grafische
golpear schlagen
defender verteidigen
new new
zero zero
rusia russland
poesías gedichte
amigos freunden
michigan michigan
hospital krankenhaus
evidentemente offensichtlich
danesa dänische
mr mr
propósitos zwecken
soldado soldat
cruzada kreuzzug
rectangular rechteckige
comprendía umfasste
channel channel
adam adam
pocos wenigen
técnicas techniken
tía tante
fernanda christiane
society society
vigilancia überwachung
inmediatamente sofort
paula paula
sheffield sheffield
censura zensur
separadas getrennte
quedó fiel
transformó wandelte
testimonio zeugnis
face face
magic magic
afroamericanos afroamerikanern
ideología ideologie
arquitectura architektur
estrés stress
afuera draußen
horse horse
garantiza garantiert
kazajistán kasachstan
make make
automáticamente automatisch
saturno jupiter
nota notiert
claire claire
money money
ene jul
afiliación mitgliedschaft
manuscrito manuskript
constantino konstantin
comparada vergleichende
inmediaciones nahegelegenen
classic classic
mujeres frauen
flag flag
donación schenkung
johns johns
pirámide pyramide
árabes arabischen
otros anderen
fan fan
francia frankreich
angela angela
satélites satelliten
made made
bosch bosch
dean dean
oscuridad dunkelheit
ofensiva offensive
encabezada führung
tony tony
declaraciones äußerungen
isabel theresia
amplió erweiterte
nobleza adel
reconoció erkannte
carrera karriere
fraser fraser
grados grad
variantes varianten
pennsylvania pennsylvania
político politiker
continuando weiter
betis borussia
cl cl
águila adler
motivo anlass
río flusses
medida zunehmender
experimento experiment
tesoro schatz
éxito erfolg
regularmente regelmäßig
din din
montreal montreal
transferencia transfer
difíciles schwierigen
frecuentes häufige
puntos punkte
padres eltern
reducir reduzieren
dotado ausgestattet
nariz nase
rangers rangers
glenn glenn
bill bill
by by
dificultades schwierigkeiten
jackson jackson
magazine magazine
sainte sainte
heaven heaven
gary gary
individuales individuelle
bulletin bulletin
anjou anjou
mucho viel
imposible unmöglich
joseph joseph
volar fliegen
caso fall
daños schäden
pdf pdf
estatus status
ala flügel
mc mc
auge aufschwung
marx marx
vuelo flug
lienzo leinwand
u b
monstruo monster
confundirse verwechseln
iniciativas initiativen
x x
wright wright
autonomía autonomie
olimpia fortuna
marketing marketing
insectos insekten
reflexión reflexion
ted ted
terremoto erdbeben
resuelto geklärt
manager manager
femeninos weiblichen
alas flügeln
utilizaban benutzten
drama drama
debido aufgrund
narrador erzähler
pronto bald
traductor übersetzer
room room
canciller kanzler
ga ga
exactamente exakt
newcastle newcastle
hijos söhnen
migración migration
movimientos bewegungen
chicos jungs
parroquia pfarrgemeinde
nfl nfl
abandonado aufgegeben
budismo buddhismus
hablaba sprach
genealogía genealogie
suma summe
títulos titeln
ai ai
wing wing
grand grand
beber trinken
adquirió erwarb
memphis memphis
usb usb
protesta protest
sentía fühlte
fbi fbi
vendieron verkauften
tesoros schätze
mississippi mississippi
generado erzeugte
estética ästhetik
nacida geborene
espectro spektrum
judith judith
escénicas darstellende
conocido bekannt
sol sonne
ue eu
hijo sohn
matriz matrix
jeff jeff
segmento segment
denominaciones bezeichnungen
asemeja ähnelt
científicos wissenschaftlern
heredó erbte
árbitro schiedsrichter
cercana nähe
george george
obras werke
hms hms
cueva höhle
vaticano vatikan
diana diana
otomano osmanischen
diversas verschiedene
abel hermann
división division
recepción empfang
pasado vergangenheit
labores tätigkeiten
caballo pferd
dominado dominiert
killer killer
kiev kiew
promedio durchschnitt
vivió lebte
andreas andreas
modernas neuere
explícitamente explizit
center center
secundarias weiterführende
sa sa
voz stimme
ciencia wissenschaft
gov gov
pop pop
sri sri
aerolíneas fluggesellschaften
diálogo dialog
heavy heavy
siberia sibirien
marqueses freiherren
king king
top top
gérard gérard
gibson gibson
hierro eisen
cambiar ändern
mosaico mosaik
nassau nassau
casi fast
presidente präsident
separados getrennten
roja roter
hábitos lebensweise
rige unterliegt
giuseppe giuseppe
kids kids
eficacia wirksamkeit
development development
alternativa alternative
publicar veröffentlichen
conseguir verschaffen
viejo alte
id id
soviéticos sowjetischen
yi yi
mausoleo mausoleum
huracán hurrikan
phantom phantom
bordo bord
decisión entscheidung
colombia württemberg
determinar ermitteln
aquí hier
fc fc
restaurado wiederhergestellt
portero torwart
caídos gefallenen
op op
es ist
break break
theodore theodore
sustituir ersetzen
controlar kontrollieren
universo universum
independientes unabhängigen
invención erfindung
cuarta vierten
all all
virus virus
internos internen
coronas kronen
satélite satellit
jacob jacob
afc afc
beyond beyond
ermita kapelle
mark dave
gustavo holger
quiebra konkurs
bonaparte bonaparte
oportunidad chance
interesados interessierten
francisco clemens
baby baby
tropas truppen
buena guten
nick nick
sonia nina
alcanzaron erreichten
años jahre
vita vita
carlo carlo
palabra wortes
queen queen
cerebro gehirn
elevación erhebung
fabricante hersteller
titulada erschienenen
iris iris
christopher christopher
creciente zunehmende
encima höher
blog blog
napoleón napoleon
james james
nivel niveau
sc sc
marcas marken
instante augenblick
kid kid
aliado verbündete
energy energy
afirma behauptet
rector rektor
difícil schwierig
x_ a_
philip philip
asentamiento siedlung
estrechamente eng
vanguardia avantgarde
impulsor förderer
sesión sitzung
localmente lokal
va kommt
